Text,ToxiGen Score,toxic,severe_toxic,obscene,threat,insult,identity_hate
"Why can't you believe how fat Artie is? Did you see him on his recent appearence on the Tonight Show with Jay Leno? He looks absolutely AWFUL! If I had to put money on it, I'd say that Artie Lange is a can't miss candidate for the 2007 Dead pool!   

  
Kindly keep your malicious fingers off of my above comment, . Everytime you remove it, I will repost it!!!",0.9913617745041847,1,0,0,0,0,0
"Locking this page would also violate WP:NEWBIES.  Whether you like it or not, conservatives are Wikipedians too.",0.3083984134718776,0,0,0,0,0,0
"A Bisexual, like a homosexual or a heterosexual, is not defined by sexual activity. (Much like a 15 year old boy who is attracted to a girl sexually but has never had sex is still straight). A person who is actually sexually attracted/aroused by the same sex as well as the opposite sex is bisexual.",2.0834190770983696,0,0,0,0,0,0
REDIRECT Talk:Frank Herbert Mason,0.1224759267643094,0,0,0,0,0,0
"""

 DH 
Dude, ABC officially says THIS is the name for that episode. I do know there is already an episode with that name, but ABC says it's """"Everybody's Says Don't"""".   """,0.09209758718498051,0,0,0,0,0,0
"All of my edits are good.  Cunts like you who revert good edits because you're too stupid to understand how to write well , and then revert other edits just because you've decided to bear a playground grudge, are the problem.  Maybe one day you'll realise the damage you did to a noble project.  201.215.187.159",96.34084105491638,1,0,1,0,1,0
"""
 - NeilN's bang on - You aren't being harassed at all, If you don't edit disruptively  you don't get reverted. –Talk """,0.1535602379590273,0,0,0,0,0,0
"I went there around the same time he did, and that certainly was not the case at the time. Later on they stopped taking children from such a young age.",0.08325985400006175,0,0,0,0,0,0
There must be some chemical imbalance in your brains. Are you ok? The gibberish you guys are writing really makes me feel sorry for you. Don't ever go to law school. You would do the legal profession bad.,0.7795665413141251,0,0,0,0,0,0
"""

Parzival418, you are trying to scare ThAtSo. How can you say that the comments of ThAtSo are """"insulting""""? ThAtSo is trying to suggest that there should be no original research in the Wikipedia. And, he is right. """,0.534586189314723,0,0,0,0,0,0
"""

Oppose – As the article stands, it does not properly reference under the WP:REFERENCE guidelines. If this issue is resolved, I don't any issues with it being moved to the mainspace. 「」¤ • ¢  """,0.07767718052491546,0,0,0,0,0,0
"I would appreciate an apology from both of you but I can see that is unlikely.
If not Please don't waste my time any longer with attempts at trying justify either your or Plasma Physics transgressions toward me or bother me any longer about this issue and I SHALL LEAVE YOU ALONE and seek others here who deserve my considerate attention.",0.12133421842008829,0,0,0,0,0,0
"They are NOT original research, they are pointed in the episodes.",0.09090292151086032,0,0,0,0,0,0
"""
While the magazine's masthead says """"TIME"""" the corporate name is Time Inc.  You can easily look this up.  On the other hand, ABN AMRO is always the corporate name.  You can look this up as well.   """,0.08761323406361043,0,0,0,0,0,0
Take your belated and piffling prevarications elsewhere. Too late for here.,2.2865697741508484,0,0,0,0,0,0
"That's what I'm looking through, it looks like he was just being an all around dick on talk pages though. It's nothing too bad though, looks more like an inability to express himself properly. Thank you for your concern also, Cheers!! -",96.45169973373413,0,0,0,0,0,0
"In the same direction, is it really necessary to name all the US states who recognize it? Why not give just the number of states? This is not an American encyclopedia, but an universal one, I don't see why every single US states which recognize it should be named.  (ix)",0.09825030574575067,0,0,0,0,0,0
", 20 December 2006 (UTC)

You must not play Metal Gear Solid 2 that often. GW is the Arsenal Gear A.I. that went haywire after Solid Snake uploaded Emma's virus.  19:32",0.14881407842040062,0,0,0,0,0,0
"Hi! I am back again!
Last warning!
Stop undoing my edits or die!",0.13136155903339386,1,0,0,1,0,0
"April 2006
Thank you for experimenting with the page Andy Griffith on Wikipedia. Your test worked, and has been reverted or removed. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia.",0.07938754861243069,0,0,0,0,0,0
"""

Christ. """"IQ is selected for therefore every population has the same IQ."""" Never ceases to amaze me.   

""",0.32002998050302267,0,0,0,0,0,0
Can you prove it isn't ? If you had a better knowledge of the English language it would have been obvious to you.,0.13114279136061668,0,0,0,0,0,0
"Would you both shut up, you don't run wikipedia, especially a stupid kid.",99.54003691673279,1,0,0,0,1,0
"Oh, it's me vandalising?xD See here. Greetings,",0.43908338993787766,0,0,0,0,0,0
"Website 

Hey all,
I was thinking of getting myself a website to display my pictures and this was the cheapest thing I could find. I don't know about others, but Fir and Diliff, you guys have websites, do you think it is legit? Could you provide any better alternatives? Help from any other guild member is also appreciated. Thanks (talk)",0.09098718292079866,0,0,0,0,0,0
Thanks reading there now !,0.0949737208429724,0,0,0,0,0,0
"Transliteration of Russian place names
In writing about Moscow Metro for the Malayalam Wikipedia, we are finding it difficult to correctly transliterate the Russian place names. For example, do we pronounce Park Kultury as PAARK KALTTARI or PAARK KALCHCHARI (or perhaps something completely different)? Can somebody please help by transliterating the list given in https://ml.wikipedia.org/wiki/സംവാദം:മോസ്കോ_മെട്രോ. (I am not putting the list here as I don't want to clutter up this page.) Thanks",0.13761260779574513,0,0,0,0,0,0
"""
Almost got me too; I had to look it up to see if it was real. ...  talk """,0.1751667819917202,0,0,0,0,0,0
How can one defame someone who thinks the Fort Hood Shooting is justified by God's law?,0.655690860003233,0,0,0,0,0,0
"""
Hi
Thanks for our kind words. See you around ) Talk """,0.09504261543042958,0,0,0,0,0,0
"Collusion in poker 

This is regarded as most heinous form of cheating in poker, perhaps some mention of this (or example) is warranted?",0.08672014228068292,0,0,0,0,0,0
"Thanks much - however, if it's been resolved, why is it that today, when I didn't write anything in edit summary, CAMERA put its ad in my edit summary box?1equalvoice1 (talk)",0.0785807438660413,0,0,0,0,0,0
"You can do all you're doing right now but if you get a username you'll be able to do more and have more impact is what I'm saying. And you seem to be very familiar with everything so you probably have a username? Just get one, it takes 10 seconds.  (talk•contribs)",0.08183974423445761,0,0,0,0,0,0
"However, the Moonlite edit noted by golden daph was me (on optus ...)  Wake up wikkis.  So funny",0.08461576071567833,0,0,0,0,0,0
"Check the following websites:

http://www.iranchamber.com/personalities/farabi/farabi.php
http://www.islam.org.br/%C2%A0al_farabi.htm
http://www.superbeyin.com/sohbet/sohbet.htm",0.43117101304233074,0,0,0,0,0,0
i can't believe no one has already put up this page Dilbert's Desktop Games so I did,0.08158443961292505,0,0,0,0,0,0
"""

Well, after I asked you to provide the diffs within one hour of your next edit here, you made an edit to your talk page here and then did not provide the diffs I requested within one hour of that edit. I then sanctioned you for failing to provide the requested diffs in a timely manner (which, after more than a week, you have still not done). Consequently, your request to lift the sanction is denied.  """,0.08277951274067163,0,0,0,0,0,0
"What page shoudld there be for important characters that DON'T reoccur?
Void, Black Doom, Mephiles, etc",0.08095291559584439,0,0,0,0,0,0
A pair of jew-hating weiner nazi schmucks.,99.73575472831726,1,0,1,0,1,1
"I'm not vandalizing  

I'm just having fun man, you have no sense of humor if you think I'm vandalizing stuff. lemonparty.org=this site now",0.9184104390442371,0,0,0,0,0,0
"Welcome to Wikipedia ! [bla] Discover Ekopedia, the practical encyclopedia about alternative life techniques. 

 
[bla] Discover Ekopedia, the practical encyclopedia about alternative life techniques.",0.10032524587586522,0,0,0,0,0,0
Including some appropriate mention of the Solomon article is not without some level of support .,0.07835096912458539,0,0,0,0,0,0
"""

Comment. I could not verify the claim.  (talk) """,0.11568029876798391,0,0,0,0,0,0
"Thanks, Josette. I enjoyed meeting you, too. I was shocked by the decision, which does not begin to reflect consensus. Does just one Grand Poobah make it alone? Serves me right for stealing time from more pressing real-world duties to indulge in a fun hobby. I've learned my lesson and won't waste time like that again. I'll stick to fixing the little things I run across as I read articles for my own information.",0.11840881779789925,0,0,0,0,0,0
Also I think Vegetable Basket needs it's own Wikipedia page.,0.10681506246328354,0,0,0,0,0,0
"Also see this if you cant trust Murkoth Ramunni
http://books.google.com/books?id=HHev0U1GfpEC&pg;=PA51&dq;=Thiyya+matrilineal&hl;=en&sa;=X&ei;=TlpPUd2aH8mWiQLgvIDgBA&ved;=0CDYQ6AEwAQ#v=onepage&q;=Thiyya%20matrilineal&f;=false",0.47596702352166176,0,0,0,0,0,0
"""

 Chart performance of """"Single Ladies (Put a Ring on It)"""" 

Please take my advice and split up the paragraphs in the section. FAs generally have short paragraphs. It's hard and boring to ingest so much information at once, so splitting the paragraphs will improve the flow. — · [ TALK ]  """,0.111019192263484,0,0,0,0,0,0
"""

hahahaha.... good one ......
I have removed it.
 """,0.33430021721869707,0,0,0,0,0,0
"""

Having said that, I've temporarily removed my requests based on Cyde's advice, pending a """"request for consensus"""" i've asked for on the talk page. I urge anyone reading this to vote so we all know what the community wants.  """,0.08203776087611914,0,0,0,0,0,0
"Conformity as healthy 

I may have missed it, but this article does not seem to address conformity as just a healthy behaviour. Such as the way that we conform to grammar so that we can be understood, or that we conform to laws because we recognise a need for an orderly society. 194.126.85.214",0.09686729754321277,0,0,0,0,0,0
"Hi, I am new to wikipedia. Read up on pandemics today. I am impressed by the quality of information, to my knowledge not easily available elsewhere in the same easily accessible format. Thank you all of you for creating this content and making it accessible.",0.07623746059834957,0,0,0,0,0,0
"Should say something about his views as an educationalist and socialist political commentator.

Link to http://www.langandlit.ualberta.ca/Fall2004/SteigelBainbridge.html mentions this a bit - he stood as an election candidate for Respect.",0.08751124842092395,0,0,0,0,0,0
"""==Sandbox==
Don't take the template out of the sandbox. It says """"don't remove"""" for a reason.  11:36, 10 Jan 2005 (UTC)

""",0.10185780702158809,0,0,0,0,0,0
"heh, it's a bit of a copy of Wikipedia:WikiProject Professional wrestling, but I thought it look a bit tidy and better that way.",0.09896325645968318,0,0,0,0,0,0
"""

OK: just finished my planned cleanup of the todo page. The entries that were removed were copied to the investigated entries page so we have a record that we looked at them. ——  talk -  """,0.07599659729748964,0,0,0,0,0,0
""". (On Dec 14, 2006, a NIST scientist said """"...the collapse of the towers were not of any magnitude that was seismically significant..."""". See Dr Wood's """"The Scientific Method Applied to the Thermite Hypothesis"""" paper on her tripod site for mp3 links.)""",0.08462136029265821,0,0,0,0,0,0
"The statement drawn from Watchtower literature, honestly, not clandescently, not with hypocrisy, is drawn from Watchtower literature via Ray Franz's arguments and literature, and imposed into the Wikipedia article. It's too much of a coincidence that a more or less follower of Ray Franz is going to come up with a reference to Wa. literature on his own, exactly the same connection Ray Franz makes, without having first seen the connection made in Ray Franz literature.    Natural
  Nature",0.09952650871127844,0,0,0,0,0,0
"Sorry about that.  I had checked, but had only come up with Dulas Bay.  Somehow I had missed the Dulas disambiguation page completely.  Apologies again, it's not even as if it was getting particularly late at night!  The onset of swine flu perhaps?",0.17237795982509851,0,0,0,0,0,0
"TCM 

I can find no evidence that acupressure is a TCM, rather than derived from TCM. If no one objects I'll place a citation note in the article.",0.10749942157417536,0,0,0,0,0,0
"Well, it still needs expansion in areas, citations in others, more images (was going to get a pic of the Stanley Cup banner tonight at the Hitmen game, but forgot my camera) and a thorough review/copy edit by someone with a better flair for words than I, but work progresses.  lute",0.07553494651801884,0,0,0,0,0,0
"A redirect somewhere couldn't hurt, though I still don't think any o the candidates are ideal. But then if he passes the notability threshold some day the basic material is still there to work with.",0.08708738605491817,0,0,0,0,0,0
"Though this is certainly a small article, but it is not so inconsequential as to warrant subsuming it within the Flame Trees article. 

It is a discography article, and should stand alone.

 22 May 2005",0.08782695513218641,0,0,0,0,0,0
"Yeah, let's merge the content. (Not sure if Devil's Canyon is the same type of codename.)",0.08040426764637232,0,0,0,0,0,0
"""

 Image:YourTransitAd.jpg 

I think I may be able to get a better photo of this ad. If I'm able to do that, is it okay if I use it to replace this current one? I want to check with you first before doing anything. -→™/?! """,0.07896602037362754,0,0,0,0,0,0
"""

 A cookie for you! 

  A cookie for you   """,0.1597380032762885,0,0,0,0,0,0
"LMAO, what a n00b. Go and listen to manele!",97.44148850440979,0,0,0,0,0,0
"New WikiProject Novels initiative
We have begun a new initiative at the WikiProject Novels: an improvement drive. As a member listed here, you are being notified. Please see Wikipedia talk:WikiProject Novels#5-5-5 Improvement Drive and Wikipedia:WikiProject Novels/Collaboration for more details. Also I would like to remind you to keep an eye on the project talk page at Wikipedia talk:WikiProject Novels. Thanks,",0.0692367844749242,0,0,0,0,0,0
"""P.S. It's not polite to talk to people behind their backs, please remove your comments from Mrph's talk page.

Vaughan
You're right; I went to check your previous edit and found a page on the Marvel site that spelled it """"Vaughn"""", but now I am finding many more that spell it correctly. Thanks for the edits.   (☎☓) 

""",0.16689037438482046,0,0,0,0,0,0
"The Block

Hi just wondering if it has been confirmed the Darren Jolly will be a contestant on The Block??

Thanks",0.09040922159329057,0,0,0,0,0,0
"Azari or Azerbaijani? 

Azari-iranian,azerbaijani-turkic nation.",1.2412194162607193,0,0,0,0,0,0
"Userbox
Hello. A userbox you are using (Template:User queerrights) has been moved to user space per WP:GUS. The new link is  and leave any questions you may still have on my talk page. Thank you.",0.07801317842677236,0,0,0,0,0,0
"""

If you actually take the time to do a little bit of research Bloodofox, instead of jumping into what you perceive to be an avenue to pursue your vendetta against me, you'd have realised by now as would your colleague Kiyoweap that in all probability the kelpie==water horse==each uisge, just different terms in used in different places for the same entity. Which is why I challenged Kiyoweap to produce something decent on the each uisge, which I guarantee he'll be unable to do.  Corbett """,0.4219477064907551,0,0,0,0,0,0
"From what I've seen with editors other than Eric, the elephant in the room is the issue of baiting/poking the bear/whatever the hell you want to call passive/aggressive baiting. No one wants to touch that one, even though it's uncivil as hell and appears to be the tactic of choice whenever someone wants to get rid of someone or get their way. That's the part that saddens me. darkness",11.171817034482956,0,0,0,0,0,0
The Alpha version had multiplayer. The Beta version did not.,0.08589475764892995,0,0,0,0,0,0
"""
PD: I just have seen that apart from the article Coat of arms of the Sahrawi Arab Democratic Republic, there is also a different article named Coat of arms of Western Sahara. That shows clearly that some users here have politically-driven intentions and bad faith, although they claim to be neutral. If they were neutral, logically they would work on the """"Coat of arms of Western Sahara"""" article, intead of trying to merge the two articles and messing it.  """,0.13020376209169626,0,0,0,0,0,0
")

We are not treating this as a forum. A question arose and was appropriately answered. End of story. ;-",0.09017998236231506,0,0,0,0,0,0
"""

 Military history WikiProject Newsletter - Issue II 

The April 2006 issue of the project newsletter is now out.  You may read this issue or change the format in which future issues will be delivered to you by following the link.  Thanks.  """,0.07654287037439644,0,0,0,0,0,0
. Between the unblock submission and  response there is less that 3 minutes which proves that this administrator did not pay enough attention to this case,0.07927650003693998,0,0,0,0,0,0
"""

  

Your request to be unblocked has been granted for the following reason(s):
Allowing username change to GianLuigiPalermo . Please put this request in at Wikipedia:Changing username as soon as possible to avoid re-blocking.

Request handled by:  

 Unblocking administrator: Please check for active autoblocks on this user after accepting the unblock request.""",0.08041985565796494,0,0,0,0,0,0
"Once again, I responded to MileMoney's reasoning for his edit and I gave my reasoning for my edit.  Yes, it is absolutely relevant to this page.  There are other places for the discussion on income inequality than in the Progressive Tax article.",0.08156647672876716,0,0,0,0,0,0
"""

UNBLOCK ME OR I'LL GET MY LAWYERS ON TO YOU FOR BLOCKING MY CONSTITUTIONAL RIGHT TO FREE SPEECH""",1.0770606808364391,1,0,0,0,0,0
"""

Actually, direct quotes that aren't in quotation marks and aren't attributed are generally known as """"plagiarism"""" and/or """"copyright infringement."""" But the NYT material isn't the issue, as you well know. The material from the """"Jewish Action Taskforce"""" is the problem.  """,0.20920438691973686,0,0,0,0,0,0
"Fradulent claim 

I am most certainly not a sockpuppet of TheChief, please retract your fradulent claim at once.",3.038777783513069,0,0,0,0,0,0
That is quick if we only limit the discussion for changing the title but considering the previous discussions for months can have a valid reason for the move.,0.0741895695682615,0,0,0,0,0,0
"""

 123 18:38, July 18, 2005 (UTC)

P.S. Feel free to leave a message on my talk page if you need help with anything or simply wish to say hello. )""",0.12029197532683611,0,0,0,0,0,0
"You should be fired, you're a moronic wimp who is too lazy to do research. It makes me sick that people like you exist in this world.",99.68380928039551,1,0,0,0,1,0
"It looks to me like he is violating WP:NPA, but it's pretty minor. I'll point this out to him, and if you two are having a content conflict then you can try the Mediation Cabal. By the way, it's generally easier to sign with ~~~~ than typing out . Have a stop by in the IRC channel if you want further advice, by the way.  |||  Talk",0.08295816951431334,0,0,0,0,0,0
"""

A pat on the head
KC, you are one of the most dedicated Wikipedians I know and I'm madly in love with you. I'd give you a Barnstar but in the end you'd just chew it up and bury it. Instead, let me offer this metaphorical pat on the head: """"That'll do Pup, that'll do.""""  see you around   )  Tropics """,0.6914308294653893,0,0,0,0,0,0
Note that the Sandbox is the right place to experment.  Thanks!,0.07762242457829416,0,0,0,0,0,0
"friesers opinion is simple i guess. kursk was no turning point, german were on retreat before and after. i think hes correct. russians had more personnel before and after they improved their skill ( glantz ) this in combination forced germans to retreat only. the losses were not the problem, after the battle of kursk the tanks and infantry strenghts were more in favor for germans then before... , some weeks after kursk german tank strenghters were higher than before kursk ( zetterling )",0.28889598324894905,0,0,0,0,0,0
"Oh, I didn't know, thanks.",0.1179514336399734,0,0,0,0,0,0
"Lois Roisman
Your piece on Lois Roisman omitted much of her background and everything to do with her death. I have updated it. Please review if there's anything you want to add. 67.101.255.166",0.07878559408709407,0,0,0,0,0,0
"""know the sex of the foetus""""""",0.6170995067805052,0,0,0,0,0,0
I think that your a Fagget get a oife and burn in Hell I hate you 'm sorry we cant have any more sex i'm running out of conndoms,99.62149262428284,1,0,1,1,1,1
"86.29.244.57|86.29.244.57]] 04:21, 14 May 2007",0.10244455188512802,0,0,0,0,0,0
"Sorry, the link you gave me is dead. And I formatted in harvnb, so plz help in that matter.",0.08364453678950667,0,0,0,0,0,0
"you are a stupid fuck 

and your mother's cunt stinks",99.73790645599365,1,1,1,0,1,0
""") (ETA: John D. Haynes House. SarekOfVulcan (talk) """,0.0869171170052141,0,0,0,0,0,0
"""== new ==

{{userbox 
 TABTAB| id =  
 TABTAB| id-c = White 
 TABTAB| info = This user is a faggot. 
 TABTAB| info-c = LightBlue 
 TABTAB| border-c = Black 
 TABTAB| usercategory = LGBT Wikipedians 
 TABTAB| nocat =  
 TABTAB}} 
 TABTAB
 TABTAB- ''This template automatically categorizes the user in LGBT""",98.2853353023529,0,0,0,0,0,0
", 16 December 2005 (UTC)
Mendel doesn't talk about those changes at all.  Mendel was refering to the Conspiracy section that used to be there.  16:53",0.08033434860408306,0,0,0,0,0,0
"""

 Please do not vandalize pages, as you did with this edit to Budweiser (Anheuser-Busch). If you continue to do so, you will be blocked from editing.  - ✰✰ echo """,0.13409123057499528,0,0,0,0,0,0
"Correct, Dead is dead. There are, however, leves of wounds, hence the emphasis when they are serious. This is not a POV adjective.",0.0897126563359052,0,0,0,0,0,0
"""

I fixed the pic, if anyone still feels that it should move it can be done.  - THE VOICES """,0.08696010918356478,0,0,0,0,0,0
"George W. Bush approval rating graph 

http://upload.wikimedia.org/wikipedia/commons/1/10/George_W_Bush_approval_ratings_with_events.svg

The circle for the September 11th attacks looks too far right. Think you could update it?

Why are the data points post 2005 omitted?",0.0900203944183886,0,0,0,0,0,0
"""

Sorry to interrupt but I'm at 1200 edits now... the first 200 were likely just on my own pages and because I was asking for help so much so maybe just 1000... or maybe less... but it still kind of counts. ♥♥Amulet♥♥ """,0.07717133848927915,0,0,0,0,0,0
"Absolutely, use of that word is strongly misleading, even with '-like'. The structure had nothing to do with mastaba - a burial chamber basicly. Mastaba by definition has entran & ceinner space.
This structure was one solid pile of rocks, with no inner space or entrances.
It was ment as a wall fragment.",0.10119273792952299,0,0,0,0,0,0
"I just noticed that the neutrality of this article is disputed (not by me). In light of that, I again ask that my post here, and my invitation to discuss how and whether neutrality can be achieved, not be deleted. It is highly relevant, and relatively urgent (bearing in mind the rule that there are no emergencies on Wikipedia, in time convergence on Truth will be achieved.",0.07937700138427317,0,0,0,0,0,0
"""
, editors don't care about your """"explanations"""" if they're not accompanied by reliable published sources. I could """"explain"""" why I thought dogs ate cats but I would get the same reception if I didn't provide sources. Stop edit warring and present sources.  talk to me """,0.5111313425004482,0,0,0,0,0,0
"About Mitch moved to Yggdrasill 

I have no idea & it wasn't me on doing that",0.11165884789079428,0,0,0,0,0,0
"Sockpuppets and impersonators 

The two above sockpuppet/impersonator accounts, including",0.1192618627101183,0,0,0,0,0,0
"Oh, also wouldn't films that are named Three or some variation thereof be listed on the disambig page and not on here? JUST WONDERING BECAUSE IT MAKES MUCH MORE SENSE TO ME  (I apologize in advance for certain individuals who are too sensitive to hear the truth)",0.08665071800351143,0,0,0,0,0,0
"Review Request 

Hi,

I'd like to request KLM for a GA-class review. Can anyone do that? It seems to have many similar stuff to other GA's, such as Kenya Airways and Ethiopian Airlines. Cheers. '''BreaksFixes'''",0.09203894878737628,0,0,0,0,0,0
"Al Messier 
This article was a non-notable biography according to the criteria set out in WP:BIO. (aeropagitica)",0.08741436759009957,0,0,0,0,0,0
"Your blatant POV pushing 

Neither of you guys has made any contribution to this Italian history article other than to shove your unhistorical unconstructive modern POV in my face.
This is a HISTORY article. HISTORY.
Have you heard of that?
This is the reason why so many people get pissed off about the pedantry and idiocy and triviality of Wikipedia.
J*sus. Get a f*cking life.",98.26769232749939,1,0,1,0,0,0
"""
Reliable sources indicate otherwise. Please do not insert your personal analysis into the article.  (talk) """,0.10127288987860084,0,0,0,0,0,0
